search_keyword,video_id,upload_date,username,description,play_count,digg_count,comment_count,video_url
Hamenang,7634432304043199762,2026-04-30 15:00:00,Solopos Official,"Bupati Klaten Hamenang Wajar Ismoyo (@Hamenang Wajar Ismoyo)geram usai menemukan pelanggaran SOP di dapur Satuan Pelayanan Pemenuhan Gizi (SPPG) Sorogaten, Kecamatan Tulung, Rabu (29/4/2026). Temuan ini mencuat setelah belasan siswa mengalami gejala seperti lemas, pusing, dan diare usai mengonsumsi menu Makan Bergizi Gratis (MBG). Pemkab Klaten langsung melakukan pengecekan ke lokasi dapur serta memantau kondisi siswa di Puskesmas Majegan dan PKU Jatinom. Dari hasil inspeksi, ditemukan sejumlah fasilitas yang tidak memenuhi standar, mulai dari pendingin yang tidak optimal, gudang bahan tanpa pendingin, hingga instalasi limbah yang belum sesuai ketentuan. Atas kondisi tersebut, operasional dapur SPPG Sorogaten ditutup sementara selama tiga hari untuk pembenahan. Sementara itu, sampel makanan telah dikirim ke laboratorium guna memastikan penyebab pasti dugaan keracunan. Pemkab memastikan penanganan medis siswa terus berjalan dan meminta pihak SPPG bertanggung jawab. Hasil uji laboratorium diperkirakan keluar dalam lima hingga tujuh hari ke depan. #makanbergizigratis #sppg #klaten24jam #keracunan",1600000,49300,960,https://www.tiktok.com/@soloposofficial/video/7634432304043199762
Hamenang,7566967917003230485,2025-10-30 18:00:16,Hamenang Wajar Ismoyo,Kodim Run 2025 ini menjadi tempat bersilaturahmi tidak hanya warga Klaten tapi juga dari berbagai wilayah. Maturnuwun Pak Dandim atas acara dalam rangka HUT TNI ke-80.  Semoga TNI selalu menjadi bagian yang dekat dengan masyarakat. Ditunggu event berikutnya ya Pak Dandim. #hamenang #klaten #klatenkeren #bupatiklaten #running ,170000,7174,102,https://www.tiktok.com/@hamenangofficial/video/7566967917003230485
Hamenang,7630444773698227474,2026-04-19 19:22:53,Hamenang Wajar Ismoyo,"Karena King MU menang, gas nemenin anak-anak dan isteri di CFD tadi pagi. Eh malah ketemu tim lawan semalam, yak harus kita abadikan ya Mas😅 Buat warga Klaten kalau mau hunting kuliner, mainan anak, ataupun pernak-pernik UMKM bisa ke Car Free Day di Jalan Pemuda setiap hari Minggu dari jam 06.00-09.00 WIB. Siapa tadi yang juga ke CFD Lur? Jajan nopo mawon niki? #hamenang #klaten #klatenkeren #bupatiklaten #kingmu ",260500,6729,138,https://www.tiktok.com/@hamenangofficial/video/7630444773698227474
Hamenang,7665930322537745671,2026-07-24 10:25:08,Mas Hamenang,"Perjalanan ziarah Mas Bupati @Hamenang Wajar Ismoyo dilanjutkan ke pusara mendiang Mas Wakil Bupati Klaten, alm Benny Indra Ardhianto. Sebagai partner, adek, sahabat, beliau teringat masa-masa selama menjabat berdua. Mas Bupati juga akan melanjutkan spirit dan semangat beliau untuk membangun Klaten. #hamenang #bupatiklaten #klaten #ziarah #klaten24jam ",221800,10400,88,https://www.tiktok.com/@mas.hamenang/video/7665930322537745671
Hamenang,7487573822384655624,2025-03-30 19:10:36,Hamenang Wajar Ismoyo,Selamat Ulang Tahun Istriku @fahrani.hamenang Panjang Umur Serta Mulia...  Sehat selalu... Bahagia selalu....  semakin sayang dengan Keluarga.... tambah berkah..... semoga diberi kemudahan & kelancaran dalam mengemban Amanah sbg Ketua PKK Klaten... Terimakasih telah memilih menjadi bagian dari Keluarga kecil ini... Perjalanan Kita masih panjang... semoga selalu diberi kemudahan & kelancaran oleh Allah SWT... Insya Allah till Jannah ya mah... #birthday  #ulangtahun  #istri  #klaten  #bupati  #bupatiklaten ,119900,1370,74,https://www.tiktok.com/@hamenangofficial/video/7487573822384655624
Hamenang,7629219889328196872,2026-04-16 17:00:00,Solopos Official,"Bupati Klaten Hamenang Wajar Ismoyo mengecek dapur SPPG Satya Haprabu di Kecamatan Kalikotes menyusul dugaan keracunan siswa SMPN 1 Kalikotes. Dari inspeksi, ditemukan sejumlah masalah seperti menu ayam masih berbulu, sayuran berlendir, serta area pencucian menuju cold storage yang berbau. Hamenang meminta pengelola segera memperbaiki standar kebersihan dan memastikan seluruh proses sesuai SOP. Ia juga menegaskan temuan tersebut telah dilaporkan ke Badan Gizi Nasional (BGN) untuk tindak lanjut, mengingat kewenangan program MBG ada di pemerintah pusat. Sementara itu, hasil penelusuran menunjukkan puluhan siswa dan guru mengalami gejala seperti diare, mual, dan muntah, namun tidak ada yang sampai dirawat inap. #sppg #makanbergizigratis #klaten24jam",52300,703,36,https://www.tiktok.com/@soloposofficial/video/7629219889328196872
Hamenang,7648884880507505927,2026-06-08 11:59:58,Mas Hamenang,Ketika Mas Bupati @Hamenang Wajar Ismoyo mendengar dan langsung mengeksekusi permintaan salah satu warganya untuk memasang PDAM secara gratis. Hal ini merupakan salah satu fungsi dari kegiatan Sambung Rasa yang rutin diadakan Pemkab Klaten. #hamenang #bupatiklaten #klaten #klaten24jam #kabarklaten ,780700,23800,321,https://www.tiktok.com/@mas.hamenang/video/7648884880507505927
Hamenang,7564713081469734164,2025-10-24 16:10:21,Hamenang Wajar Ismoyo,Palang pintu kereta api Mbah Ruwet dan palang kereta api Taji Prambanan akhirnya selesai dibangun dan sudah diresmikan. Semoga dengan adanya palang ini dapat mencegah kecelakaan dan bagi warga yang melintas untuk tetap hati-hati serta memperhatikan rambu-rambu. #hamenang #klaten #klatenkeren #bupatiklaten #kereta ,127900,2776,95,https://www.tiktok.com/@hamenangofficial/video/7564713081469734164
Hamenang,7626313045156859143,2026-04-08 16:09:41,Hamenang Wajar Ismoyo,"Kami hadir dan meninjau langsung aktivitas pelayanan di Puskesmas Kebonarum, memastikan juga bahwa pelayanan harus prima dan cekatan. Kami selalu menegaskan bahwa panjenengan semua adalah garda terdepan dalam melayani masyarakat di bidang kesehatan.  Beberapa hal perlu diperbaiki dan ditingkatkan baik itu kebersihan hingga pelayanan. Terlebih jika ada kegawatdaruratan yang ke Puskesmas, harus dilayani dan tidak boleh ditolak.  Pemkab Klaten terus bergerak dalam memperbaiki pelayanan yang berhubungan dengan masyarakat. Jika dulur-dulur ada usulan terkait pelayanan publik, bisa disampaikan di kolom komentar, nanti saya baca satu per satu dan perbaiki. #hamenang #klaten #klatenkeren #bupatiklaten #klaten24jam ",191200,5950,330,https://www.tiktok.com/@hamenangofficial/video/7626313045156859143
Hamenang,7441226361642962231,2024-11-25 21:38:51,Hamenang Fanbase,support system terbaik adalah keluarga💕 #pilkada #pilkada2024 #hamenang #hamenangbenny #hamenangbersamarakyat #klaten #klaten24jam #klatenbersinar🌈 #kabupatenklaten ,73300,3295,15,https://www.tiktok.com/@hamenang.fanbase/video/7441226361642962231
